Login,Contributions,URL,Type,Site Admin,Account Age (days),Total PRs Submitted,Total PRs Merged,Total Issues Opened,Total Repositories Contributed To,Followers,Stars Received,Is Member of Organization
jwasham,877,https://github.com/jwasham,User,False,4367,9,8,11,30,24153,326133,False
Anri-Lombard,165,https://github.com/Anri-Lombard,User,False,1509,30,30,30,30,336,97,False
avizmarlon,76,https://github.com/avizmarlon,User,False,2998,9,9,27,20,334,33,False
esaucedof,75,https://github.com/esaucedof,User,False,3497,30,14,5,30,108,3,False
aleen42,53,https://github.com/aleen42,User,False,3757,30,30,30,30,390,467,False
Ilyushin,48,https://github.com/Ilyushin,User,False,4287,16,15,30,30,114,0,False
dossorio,30,https://github.com/dossorio,User,False,4256,16,14,30,21,10,5,False
tsakishii,30,https://github.com/tsakishii,User,False,2365,26,22,5,25,38,5,False
hexatester,27,https://github.com/hexatester,User,False,2424,30,30,24,30,69,83,False
letientai299,27,https://github.com/letientai299,User,True,3846,30,24,30,30,140,205,False
DimoDimchev,26,https://github.com/DimoDimchev,User,False,2510,14,13,19,20,28,15,False
marcomarrelli,23,https://github.com/marcomarrelli,User,False,1517,3,3,3,7,18,8,False
vsay01,22,https://github.com/vsay01,User,False,4037,23,18,30,30,46,183,False
imran110219,21,https://github.com/imran110219,User,False,3907,30,30,12,30,41,14,False
joonas-yoon,20,https://github.com/joonas-yoon,User,False,3759,30,30,30,30,130,165,False
NaoCoding,19,https://github.com/NaoCoding,User,False,1323,30,30,21,30,24,8,False
saurabh-mhaisekar,18,https://github.com/saurabh-mhaisekar,User,False,3594,12,11,30,30,13,2,False
linhe0x0,15,https://github.com/linhe0x0,User,False,3821,30,30,30,30,361,105,False
marceloogeda,12,https://github.com/marceloogeda,User,False,4424,20,18,25,30,97,4,False
kgnblg,12,https://github.com/kgnblg,User,False,3239,7,7,1,30,27,44,False
Carmezim,11,https://github.com/Carmezim,User,False,3333,30,21,30,30,271,138,False
askeroff,11,https://github.com/askeroff,User,False,3938,30,27,8,16,28,14,False
mbiesiad,11,https://github.com/mbiesiad,User,False,3235,30,30,30,30,81,205,False
wilkoklak,10,https://github.com/wilkoklak,User,False,3275,15,15,5,21,10,4,False
santosomichael,10,https://github.com/santosomichael,User,False,3179,2,1,0,22,7,0,False
kamegoro,9,https://github.com/kamegoro,User,False,1767,30,30,30,30,9,1,False
abhijeetsatpute,8,https://github.com/abhijeetsatpute,User,False,2182,29,23,8,30,15,4,False
rvlewerissa,8,https://github.com/rvlewerissa,User,False,3412,26,23,17,21,31,31,False
SaptarshiSarkar12,8,https://github.com/SaptarshiSarkar12,User,False,1003,30,30,30,30,42,202,False
msambol,8,https://github.com/msambol,User,False,4412,30,30,16,16,572,538,False
mikhailusov,7,https://github.com/mikhailusov,User,False,4233,7,6,1,30,15,10,False
HashCookie,7,https://github.com/HashCookie,User,False,1217,30,30,8,30,35,34,False
amoraitis,7,https://github.com/amoraitis,User,False,3262,30,30,30,30,49,12,False
dangkhoasdc,7,https://github.com/dangkhoasdc,User,False,4405,30,30,24,22,225,3405,False
gjzim,6,https://github.com/gjzim,User,False,4609,8,8,0,11,17,2,False
Newt0n,6,https://github.com/Newt0n,User,False,4830,13,11,4,9,62,55,False
Glowin,6,https://github.com/Glowin,User,False,4865,30,30,30,30,234,12,False
IvanReznikov,6,https://github.com/IvanReznikov,User,False,2961,30,30,17,23,214,394,False
shaungunaw,6,https://github.com/shaungunaw,User,False,1743,0,0,2,0,39,0,False
zaienaji,6,https://github.com/zaienaji,User,False,2632,2,2,0,12,4,4,False
YangFong,6,https://github.com/YangFong,User,False,1631,30,30,30,30,57,38,False
moonik,6,https://github.com/moonik,User,False,3183,30,30,2,30,13,1,False
shogohida,6,https://github.com/shogohida,User,False,3699,30,30,30,30,21,0,False
kapyshin,6,https://github.com/kapyshin,User,False,5810,30,30,7,11,21,28,False
Hanney-Ryu,6,https://github.com/Hanney-Ryu,User,False,3226,2,0,2,14,11,2,False
ali-tamim,6,https://github.com/ali-tamim,User,False,3627,4,2,0,19,1,0,False
develhopper,5,https://github.com/develhopper,User,False,2740,3,2,7,30,97,6,False
hezhizhen,5,https://github.com/hezhizhen,User,False,3929,30,30,30,30,109,8,False
flyotlin,5,https://github.com/flyotlin,User,False,1990,19,18,27,30,18,140,False
d1mnewz,5,https://github.com/d1mnewz,User,False,3604,30,30,30,30,140,14,False
nongrata081,5,https://github.com/nongrata081,User,False,2853,30,30,30,17,23,2,False
Kapil-chn7,5,https://github.com/Kapil-chn7,User,False,1839,1,1,1,30,6,5,False
daveleee,5,https://github.com/daveleee,User,False,3245,2,1,4,4,18,0,False
aporiadin,5,https://github.com/aporiadin,User,False,4721,5,2,4,2,21,0,False
ducdongmg,4,https://github.com/ducdongmg,User,False,4191,19,18,30,30,15,1,False
ladrift,4,https://github.com/ladrift,User,False,3631,11,9,10,30,78,33,False
Chehaco,4,https://github.com/Chehaco,User,False,3451,4,4,0,1,2,0,False
kindraywind,4,https://github.com/kindraywind,User,False,5195,30,30,22,30,54,7,False
AungMyoKyaw,4,https://github.com/AungMyoKyaw,User,False,3767,30,29,4,30,137,18,False
abdullah-afzal,4,https://github.com/abdullah-afzal,User,False,1989,30,27,2,30,11,33,False
colin-mccormack,4,https://github.com/colin-mccormack,User,False,1430,0,0,5,30,20,8,False
amoulkaf,4,https://github.com/amoulkaf,User,False,4483,1,1,28,12,4,4,False
dapp1990,4,https://github.com/dapp1990,User,False,4115,8,6,1,30,9,0,False
dikiaap,4,https://github.com/dikiaap,User,False,3829,30,30,30,7,130,1847,False
HicaroD,4,https://github.com/HicaroD,User,False,1531,30,30,30,30,36,2,False
Kamalc,4,https://github.com/Kamalc,User,False,2917,7,4,0,30,17,8,False
KhrTim,4,https://github.com/KhrTim,User,False,2360,10,8,3,17,7,0,False
kathu,4,https://github.com/kathu,User,False,4609,7,7,1,27,2,2,False
dsachin,4,https://github.com/dsachin,User,False,3472,6,6,0,21,3,1,False
SumitKumarKar01,4,https://github.com/SumitKumarKar01,User,False,1577,20,18,1,12,1,0,False
sharmaachintya08,3,https://github.com/sharmaachintya08,User,False,1443,15,4,0,30,8,1,False
meezan-mallick,3,https://github.com/meezan-mallick,User,False,1915,0,3,0,28,11,43,False
michelececcacci,3,https://github.com/michelececcacci,User,False,1526,30,30,30,6,39,11,False
mohitchakraverty,3,https://github.com/mohitchakraverty,User,False,1457,21,11,3,11,5,2,False
OhIAmFine,3,https://github.com/OhIAmFine,User,False,3697,27,19,30,30,21,2,False
SRX9,3,https://github.com/SRX9,User,False,2242,24,19,9,30,90,82,False
Shaon2221,3,https://github.com/Shaon2221,User,False,3224,10,5,3,30,45,2,False
toneloc,3,https://github.com/toneloc,User,False,4378,16,7,14,30,33,89,False
duytruong,3,https://github.com/duytruong,User,False,3990,2,2,18,30,17,9,False
fahminlb33,3,https://github.com/fahminlb33,User,False,3849,15,14,30,30,63,15,False
zerone0x,3,https://github.com/zerone0x,User,False,2462,30,28,30,30,50,8,False
ibrahimhasnat,3,https://github.com/ibrahimhasnat,User,False,2749,2,0,0,30,3,0,False
